/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
dgpu501-26
vgg 1 2 1 1 0 600
you asked for all points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.9999902  29.9999902] [130.0000098  30.0000098]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.9999904  29.9999904] [130.0000096  30.0000096]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99999059  29.99999059] [130.00000941  30.00000941]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99999078  29.99999078] [130.00000922  30.00000922]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999096  29.99999096] [130.00000904  30.00000904]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99999114  29.99999114] [130.00000886  30.00000886]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99999132  29.99999132] [130.00000868  30.00000868]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999149  29.99999149] [130.00000851  30.00000851]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99999166  29.99999166] [130.00000834  30.00000834]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999183  29.99999183] [130.00000817  30.00000817]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99999199  29.99999199] [130.00000801  30.00000801]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999215  29.99999215] [130.00000785  30.00000785]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999231  29.99999231] [130.00000769  30.00000769]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999246  29.99999246] [130.00000754  30.00000754]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99999261  29.99999261] [130.00000739  30.00000739]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999276  29.99999276] [130.00000724  30.00000724]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99999291  29.99999291] [130.00000709  30.00000709]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999305  29.99999305] [130.00000695  30.00000695]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99999319  29.99999319] [130.00000681  30.00000681]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99999332  29.99999332] [130.00000668  30.00000668]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99999346  29.99999346] [130.00000654  30.00000654]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.99999359  29.99999359] [130.00000641  30.00000641]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99999371  29.99999371] [130.00000629  30.00000629]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99999384  29.99999384] [130.00000616  30.00000616]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99999396  29.99999396] [130.00000604  30.00000604]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99999408  29.99999408] [130.00000592  30.00000592]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.9999942  29.9999942] [130.0000058  30.0000058]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.99999432  29.99999432] [130.00000568  30.00000568]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.99999443  29.99999443] [130.00000557  30.00000557]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99999454  29.99999454] [130.00000546  30.00000546]
iteration:  31,   current loss = 0.0000 , boundaries:  [129.99999465  29.99999465] [130.00000535  30.00000535]
