/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
gpu504-37
alexnet 1 0 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99999019  29.99999019] [130.00000981  30.00000981]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99999038  29.99999038] [130.00000962  30.00000962]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99999057  29.99999057] [130.00000943  30.00000943]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99999075  29.99999075] [130.00000925  30.00000925]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999092  29.99999093] [130.00000907  30.00000908]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.9999911  29.9999911] [130.0000089  30.0000089]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99999127  29.99999127] [130.00000873  30.00000873]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999144  29.99999144] [130.00000856  30.00000856]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.9999916  29.9999916] [130.0000084  30.0000084]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999176  29.99999177] [130.00000823  30.00000824]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99999192  29.99999192] [130.00000808  30.00000808]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999208  29.99999208] [130.00000792  30.00000792]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999223  29.99999223] [130.00000777  30.00000777]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999238  29.99999238] [130.00000762  30.00000762]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99999253  29.99999253] [130.00000747  30.00000747]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999267  29.99999267] [130.00000733  30.00000733]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99999281  29.99999281] [130.00000719  30.00000719]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999295  29.99999295] [130.00000705  30.00000705]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99999308  29.99999309] [130.00000691  30.00000692]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99999322  29.99999322] [130.00000678  30.00000678]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99999335  29.99999335] [130.00000665  30.00000665]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.99999348  29.99999348] [130.00000652  30.00000652]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.9999936  29.9999936] [130.0000064  30.0000064]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99999372  29.99999373] [130.00000627  30.00000628]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99999385  29.99999385] [130.00000615  30.00000615]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99999396  29.99999396] [130.00000604  30.00000604]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.99999408  29.99999408] [130.00000592  30.00000592]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.99999419  29.99999419] [130.00000581  30.00000581]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.99999431  29.99999431] [130.00000569  30.00000569]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99999441  29.99999442] [130.00000558  30.00000559]
iteration:  31,   current loss = 0.0000 , boundaries:  [129.99999452  29.99999452] [130.00000548  30.00000548]
iteration:  32,   current loss = 0.0000 , boundaries:  [129.99999463  29.99999463] [130.00000537  30.00000537]
iteration:  33,   current loss = 0.0000 , boundaries:  [129.99999473  29.99999473] [130.00000527  30.00000527]
iteration:  34,   current loss = 0.0000 , boundaries:  [129.99999483  29.99999483] [130.00000517  30.00000517]
iteration:  35,   current loss = 0.0000 , boundaries:  [129.99999493  29.99999493] [130.00000507  30.00000507]
iteration:  36,   current loss = 0.0000 , boundaries:  [129.99999503  29.99999503] [130.00000497  30.00000497]
iteration:  37,   current loss = 0.0000 , boundaries:  [129.99999512  29.99999513] [130.00000487  30.00000488]
iteration:  38,   current loss = 0.0000 , boundaries:  [129.99999522  29.99999522] [130.00000478  30.00000478]
iteration:  39,   current loss = 0.0000 , boundaries:  [129.99999531  29.99999531] [130.00000469  30.00000469]
iteration:  40,   current loss = 0.0000 , boundaries:  [129.9999954  29.9999954] [130.0000046  30.0000046]
iteration:  41,   current loss = 0.0000 , boundaries:  [129.99999549  29.99999549] [130.00000451  30.00000451]
iteration:  42,   current loss = 0.0000 , boundaries:  [129.99999558  29.99999558] [130.00000442  30.00000442]
iteration:  43,   current loss = 0.0000 , boundaries:  [129.99999566  29.99999566] [130.00000434  30.00000434]
iteration:  44,   current loss = 0.0000 , boundaries:  [129.99999574  29.99999575] [130.00000425  30.00000426]
iteration:  45,   current loss = 0.0000 , boundaries:  [129.99999583  29.99999583] [130.00000417  30.00000417]
iteration:  46,   current loss = 0.0000 , boundaries:  [129.99999591  29.99999591] [130.00000409  30.00000409]
iteration:  47,   current loss = 0.0000 , boundaries:  [129.99999599  29.99999599] [130.00000401  30.00000401]
iteration:  48,   current loss = 0.0000 , boundaries:  [129.99999606  29.99999606] [130.00000394  30.00000394]
iteration:  49,   current loss = 0.0000 , boundaries:  [129.99999614  29.99999614] [130.00000386  30.00000386]
iteration:  50,   current loss = 0.0000 , boundaries:  [129.99999621  29.99999621] [130.00000379  30.00000379]
iteration:  51,   current loss = 0.0000 , boundaries:  [129.99999629  29.99999629] [130.00000371  30.00000371]
iteration:  52,   current loss = 0.0000 , boundaries:  [129.99999636  29.99999636] [130.00000364  30.00000364]
iteration:  53,   current loss = 0.0000 , boundaries:  [129.99999643  29.99999643] [130.00000357  30.00000357]
iteration:  54,   current loss = 0.0000 , boundaries:  [129.9999965  29.9999965] [130.0000035  30.0000035]
iteration:  55,   current loss = 0.0000 , boundaries:  [129.99999656  29.99999656] [130.00000344  30.00000344]
iteration:  56,   current loss = 0.0000 , boundaries:  [129.99999663  29.99999663] [130.00000337  30.00000337]
iteration:  57,   current loss = 0.0000 , boundaries:  [129.99999669  29.99999669] [130.0000033   30.00000331]
iteration:  58,   current loss = 0.0000 , boundaries:  [129.99999676  29.99999676] [130.00000324  30.00000324]
iteration:  59,   current loss = 0.0000 , boundaries:  [129.99999682  29.99999682] [130.00000318  30.00000318]
iteration:  60,   current loss = 0.0000 , boundaries:  [129.99999688  29.99999688] [130.00000312  30.00000312]
iteration:  61,   current loss = 0.0000 , boundaries:  [129.99999694  29.99999694] [130.00000306  30.00000306]
